Fraction Removed,LCC Size,Number of Components
0.0000,2500,1
0.0002,2499,1
0.0004,2498,1
0.0006,2497,1
0.0008,2496,1
0.0010,2495,1
0.0012,2494,1
0.0014,2493,1
0.0016,2492,1
0.0018,2491,1
0.0020,2490,1
0.0022,2489,1
0.0024,2488,1
0.0026,2487,1
0.0028,2486,1
0.0030,2485,1
0.0032,2484,1
0.0034,2483,1
0.0036,2482,1
0.0038,2481,1
0.0040,2480,1
0.0042,2479,1
0.0044,2478,1
0.0046,2477,1
0.0048,2476,1
0.0050,2475,1
0.0052,2474,1
0.0054,2473,1
0.0056,2472,1
0.0058,2471,1
0.0060,2470,1
0.0062,2469,1
0.0064,2468,1
0.0066,2467,1
0.0068,2466,1
0.0070,2465,1
0.0072,2464,1
0.0074,2463,1
0.0076,2462,1
0.0078,2461,1
0.0080,2460,1
0.0082,2459,1
0.0084,2458,1
0.0086,2457,1
0.0088,2456,1
0.0090,2455,1
0.0092,2454,1
0.0094,2453,1
0.0096,2452,1
0.0098,2451,1
0.0100,2450,1
0.0102,2449,1
0.0104,2448,1
0.0106,2447,1
0.0108,2446,1
0.0110,2445,1
0.0112,2444,1
0.0114,2443,1
0.0116,2442,1
0.0118,2441,1
0.0120,2440,1
0.0122,2439,1
0.0124,2438,1
0.0126,2437,1
0.0128,2436,1
0.0130,2435,1
0.0132,2434,1
0.0134,2433,1
0.0136,2432,1
0.0138,2431,1
0.0140,2430,1
0.0142,2429,1
0.0144,2428,1
0.0146,2427,1
0.0148,2426,1
0.0150,2425,1
0.0152,2424,1
0.0154,2423,1
0.0156,2422,1
0.0158,2421,1
0.0160,2420,1
0.0162,2419,1
0.0164,2418,1
0.0166,2417,1
0.0168,2416,1
0.0170,2415,1
0.0172,2414,1
0.0174,2413,1
0.0176,2412,1
0.0178,2411,1
0.0180,2410,1
0.0182,2409,1
0.0184,2408,1
0.0186,2407,1
0.0188,2406,1
0.0190,2405,1
0.0192,2404,1
0.0194,2403,1
0.0196,2402,1
0.0198,2401,1
0.0200,2400,1
0.0202,2399,1
0.0204,2398,1
0.0206,2397,1
0.0208,2396,1
0.0210,2395,1
0.0212,2394,1
0.0214,2393,1
0.0216,2392,1
0.0218,2391,1
0.0220,2390,1
0.0222,2389,1
0.0224,2388,1
0.0226,2387,1
0.0228,2386,1
0.0230,2385,1
0.0232,2384,1
0.0234,2383,1
0.0236,2382,1
0.0238,2381,1
0.0240,2380,1
0.0242,2379,1
0.0244,2378,1
0.0246,2377,1
0.0248,2376,1
0.0250,2375,1
0.0252,2374,1
0.0254,2373,1
0.0256,2372,1
0.0258,2371,1
0.0260,2370,1
0.0262,2369,1
0.0264,2368,1
0.0266,2367,1
0.0268,2366,1
0.0270,2365,1
0.0272,2364,1
0.0274,2363,1
0.0276,2362,1
0.0278,2361,1
0.0280,2360,1
0.0282,2359,1
0.0284,2358,1
0.0286,2357,1
0.0288,2356,1
0.0290,2355,1
0.0292,2354,1
0.0294,2353,1
0.0296,2352,1
0.0298,2351,1
0.0300,2350,1
0.0302,2349,1
0.0304,2348,1
0.0306,2347,1
0.0308,2346,1
0.0310,2345,1
0.0312,2344,1
0.0314,2343,1
0.0316,2342,1
0.0318,2341,1
0.0320,2340,1
0.0322,2339,1
0.0324,2338,1
0.0326,2337,1
0.0328,2336,1
0.0330,2335,1
0.0332,2334,1
0.0334,2333,1
0.0336,2332,1
0.0338,2331,1
0.0340,2330,1
0.0342,2329,1
0.0344,2328,1
0.0346,2327,1
0.0348,2326,1
0.0350,2325,1
0.0352,2324,1
